,open,high,low,close,volume,date
2024-10-14,164.91,167.62,164.78,166.35,9981765,2024-10-14
2024-10-15,167.14,169.09,166.05,166.9,14829338,2024-10-15
2024-10-16,166.03,167.28,165.216,166.74,9968474,2024-10-16
2024-10-17,167.38,167.93,164.37,164.51,15113356,2024-10-17
2024-10-18,164.87,166.3699,164.75,165.05,13091267,2024-10-18
2024-10-21,164.58,166.22,164.305,165.8,11384047,2024-10-21
2024-10-22,164.7,167.47,164.67,166.82,11958617,2024-10-22
2024-10-23,166.43,167.6,163.6325,164.48,12754283,2024-10-23
2024-10-24,164.59,165.05,162.77,164.53,12764430,2024-10-24
2024-10-25,165.365,167.4,165.23,166.99,14566410,2024-10-25
2024-10-28,170.59,170.606,165.79,168.34,20858254,2024-10-28
2024-10-29,169.385,171.86,168.66,171.14,28916106,2024-10-29
2024-10-30,182.41,183.79,175.7451,176.14,49698313,2024-10-30
2024-10-31,174.72,178.42,172.56,172.69,32801898,2024-10-31
2024-11-01,171.54,173.82,170.31,172.65,21752859,2024-11-01
2024-11-04,171.24,171.92,169.485,170.68,16193994,2024-11-04
2024-11-05,170.83,172.0973,170.37,171.41,12518282,2024-11-05
2024-11-06,175.35,178.64,175.04,178.33,27061510,2024-11-06
2024-11-07,179.11,182.58,178.89,182.28,16730407,2024-11-07
2024-11-08,182.0,182.35,179.57,179.86,15021549,2024-11-08
2024-11-11,180.07,182.085,179.99,181.97,12503422,2024-11-11
2024-11-12,181.38,184.025,180.99,183.32,14065845,2024-11-12
2024-11-13,182.15,182.615,180.12,180.49,13969709,2024-11-13
2024-11-14,179.75,180.445,176.03,177.35,17925763,2024-11-14
2024-11-15,175.64,175.88,172.745,173.89,21708870,2024-11-15
2024-11-18,174.955,176.91,174.42,176.8,18725422,2024-11-18
2024-11-19,175.235,180.17,175.116,179.58,15392866,2024-11-19
2024-11-20,178.83,179.11,175.33,177.33,15729806,2024-11-20
2024-11-21,175.455,175.58,165.31,169.24,38839431,2024-11-21
2024-11-22,167.16,168.2645,165.71,166.57,24497042,2024-11-22
2024-11-25,167.99,170.46,167.4,169.43,21395652,2024-11-25
2024-11-26,169.49,171.495,169.43,170.62,14937478,2024-11-26
2024-11-27,170.68,171.14,169.67,170.82,12433371,2024-11-27
2024-11-29,170.06,170.87,168.75,170.49,9250712,2024-11-29
2024-12-02,170.32,173.6,170.27,172.98,16593444,2024-12-02
2024-12-03,173.12,174.32,172.51,173.02,15721483,2024-12-03
2024-12-04,172.78,176.43,172.75,176.09,18239842,2024-12-04
2024-12-05,177.32,177.71,174.01,174.31,16145520,2024-12-05
