,open,high,low,close,volume,date
2024-10-18,138.665,138.9,137.28,138.0,176090184,2024-10-18
2024-10-21,138.13,143.71,138.0,143.71,264554514,2024-10-21
2024-10-22,142.91,144.42,141.78,143.59,226311589,2024-10-22
2024-10-23,142.03,142.43,137.46,139.56,285930038,2024-10-23
2024-10-24,140.82,141.35,138.46,140.41,172354888,2024-10-24
2024-10-25,140.93,144.13,140.8,141.54,205122109,2024-10-25
2024-10-28,143.0,143.14,140.05,140.52,173586745,2024-10-28
2024-10-29,140.285,142.2598,138.9,141.25,157593634,2024-10-29
2024-10-30,139.54,140.33,136.81,139.335,179418082,2024-10-30
2024-10-31,137.6,137.61,132.1106,132.76,270039641,2024-10-31
2024-11-01,134.7,137.31,134.57,135.4,207127838,2024-11-01
2024-11-04,137.21,138.96,135.57,136.05,187528173,2024-11-04
2024-11-05,137.45,140.3701,137.33,139.91,160537373,2024-11-05
2024-11-06,142.96,146.49,141.96,145.61,242043945,2024-11-06
2024-11-07,146.39,148.93,146.17,148.88,207323303,2024-11-07
2024-11-08,148.77,149.77,146.26,147.63,175665830,2024-11-08
2024-11-11,148.68,148.85,143.57,145.26,182325620,2024-11-11
2024-11-12,146.78,149.65,146.01,148.29,198634738,2024-11-12
2024-11-13,149.07,149.33,145.9,146.27,191903267,2024-11-13
2024-11-14,147.64,149.0,145.55,146.76,194463301,2024-11-14
2024-11-15,144.87,145.24,140.08,141.98,250132869,2024-11-15
2024-11-18,139.5,141.55,137.15,140.15,221865993,2024-11-18
2024-11-19,141.32,147.13,140.99,147.01,227834912,2024-11-19
2024-11-20,147.41,147.56,142.73,145.89,309871654,2024-11-20
2024-11-21,149.35,152.89,140.7,146.67,400946570,2024-11-21
2024-11-22,145.93,147.16,141.1,141.95,236406154,2024-11-22
2024-11-25,141.99,142.05,135.82,136.02,344941875,2024-11-25
2024-11-26,137.7,139.3,135.67,136.92,190287654,2024-11-26
2024-11-27,135.01,137.22,131.8,135.34,226370912,2024-11-27
2024-11-29,136.78,139.35,136.05,138.25,141863156,2024-11-29
2024-12-02,138.83,140.45,137.825,138.63,171682777,2024-12-02
2024-12-03,138.26,140.54,137.95,140.26,164413965,2024-12-03
2024-12-04,141.995,145.79,140.29,145.14,231224295,2024-12-04
2024-12-05,145.11,146.54,143.95,145.06,172621180,2024-12-05
2024-12-06,144.6,145.7,141.31,142.44,188505573,2024-12-06
2024-12-09,138.97,139.95,137.13,138.81,189308625,2024-12-09
2024-12-10,139.01,141.82,133.79,135.07,210020888,2024-12-10
2024-12-11,137.36,140.17,135.21,139.31,184905192,2024-12-11
